Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Ass	Kin	1	692.04	692.04	NA	NA	NA	98.7
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Fllw	Kin	6	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Mov	Away from speaker	8	289.715	36.214	22.234	NA	NA	41.3
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Mov	Towards speaker	1	10.919	10.919	NA	NA	NA	1.6
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Dhb		1	245.24	245.24	NA	NA	NA	35.0
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Hab		1	245.84	245.84	NA	NA	NA	35.1
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Look	Away from speaker	36	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Look	At speaker	21	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Voc	Contact	17	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Voc	Recruitment	12	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	HSH		3	NA	NA	NA	0.0	0.0	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Eat	With kin	7	305.114	43.588	85.546	NA	NA	43.5
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
CH52	2024-01-0300:05:06		Karolina	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	 2m	2.840	703.680	700.840	No focal subject	Vig	Short Neck	11	144.836	13.167	8.237	NA	NA	20.7
