Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Ass	Kin	2	623.04	311.52	13.69	147.36	NA	80.9
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Agn	Towards other	5	NA	NA	NA	50.74	83.081	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Mov	Away from speaker	2	53.319	26.66	5.911	108.881	NA	6.9
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Mov	Towards speaker	1	21.279	21.279	NA	NA	NA	2.8
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Dhb		1	242.44	242.44	NA	NA	NA	31.5
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Hab		1	250.96	250.96	NA	NA	NA	32.6
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Look	Away from speaker	32	NA	NA	NA	20.441	45.744	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Look	At speaker	35	NA	NA	NA	15.212	26.25	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Voc	Contact	4	NA	NA	NA	5.427	3.03	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Voc	Distance	1	NA	NA	NA	NA	NA	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	HSH		6	NA	NA	NA	43.984	37.932	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Htlt		4	NA	NA	NA	180.587	162.559	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	FVO	Distance	27	NA	NA	NA	21.389	34.327	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	FVO	Other	18	NA	NA	NA	21.569	56.587	NA
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Eat	Alone	9	54.551	6.061	3.931	3.071	1.153	7.1
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Pre	With kin	1	4.199	4.199	NA	NA	NA	0.5
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Rst	With kin	2	523.759	261.88	26.192	246.641	NA	68.0
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Vig	Long neck	2	6.958	3.479	1.81	83.521	NA	0.9
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Vig	Short Neck	2	38.278	19.139	17.734	4.201	NA	5.0
MQ39	2024-03-1523:14:55.000	Koarl_FRF_26102022_1049.MP4	Koarl	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.000	770.400	770.400	No focal subject	Vig	Mid neck	9	142.631	15.848	28.93	7.096	3.775	18.5
