Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Ass	Kin	1	123.04	123.04	NA	NA	NA	13.5
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Agn	Towards other	2	NA	NA	NA	124.16	NA	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Mov	Away from speaker	5	111.799	22.36	22.596	9.27	6.125	12.3
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Dhb		1	236.24	236.24	NA	NA	NA	25.9
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Hab		2	460.44	230.22	90.934	15.68	NA	50.5
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Look	At speaker	121	NA	NA	NA	7.078	8.034	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Look	Away from speaker	58	NA	NA	NA	7.337	23.995	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Voc	Contact	22	NA	NA	NA	29.76	23.978	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	HSH		14	NA	NA	NA	47.671	32.963	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	FVO	Other	48	NA	NA	NA	16.557	33.346	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	FVO	Distance	38	NA	NA	NA	17.709	26.664	NA
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Pre	With kin	3	96.917	32.306	48.441	37.561	38.014	10.6
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Pre	Alone	17	540.904	31.818	36.37	7.896	6.186	59.3
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Vig	Long neck	2	10.118	5.059	0.764	104.401	NA	1.1
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Vig	Mid neck	20	232.9	11.645	14.14	22.494	16.438	25.6
VH25	2024-06-2621:28:36.000	Janosch_PRF_03112022_0929.MP4 Long/edit	Janosch	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	2m	0.000	911.520	911.520	No focal subject	Vig	Short Neck	1	30.639	30.639	NA	NA	NA	3.4
